subject,name,fold
CHB_train_Case01,mri1_coronal_67_mask1,5
CHB_train_Case01,mri1_coronal_68_mask1,5
CHB_train_Case01,mri1_coronal_69_mask1,5
CHB_train_Case01,mri1_coronal_70_mask1,5
CHB_train_Case01,mri1_coronal_71_mask1,5
CHB_train_Case01,mri1_coronal_72_mask1,5
CHB_train_Case01,mri1_coronal_73_mask1,5
CHB_train_Case01,mri1_coronal_74_mask1,5
CHB_train_Case01,mri1_coronal_75_mask1,5
CHB_train_Case01,mri1_coronal_76_mask1,5
CHB_train_Case01,mri1_coronal_77_mask1,5
CHB_train_Case01,mri1_coronal_78_mask1,5
CHB_train_Case01,mri1_coronal_79_mask1,5
CHB_train_Case01,mri1_coronal_80_mask1,5
CHB_train_Case01,mri1_coronal_81_mask1,5
CHB_train_Case01,mri1_coronal_82_mask1,5
CHB_train_Case01,mri1_coronal_83_mask1,5
CHB_train_Case01,mri1_coronal_84_mask1,5
CHB_train_Case01,mri1_coronal_85_mask1,5
CHB_train_Case01,mri1_coronal_86_mask1,5
CHB_train_Case01,mri1_coronal_87_mask1,5
CHB_train_Case01,mri1_coronal_88_mask1,5
CHB_train_Case01,mri1_coronal_89_mask1,5
CHB_train_Case01,mri1_coronal_90_mask1,5
CHB_train_Case01,mri1_coronal_91_mask1,5
CHB_train_Case01,mri1_coronal_92_mask1,5
CHB_train_Case01,mri1_coronal_93_mask1,5
CHB_train_Case01,mri1_coronal_94_mask1,5
CHB_train_Case01,mri1_coronal_95_mask1,5
CHB_train_Case01,mri1_coronal_96_mask1,5
CHB_train_Case01,mri1_coronal_97_mask1,5
CHB_train_Case01,mri1_coronal_98_mask1,5
CHB_train_Case01,mri1_coronal_99_mask1,5
CHB_train_Case01,mri1_coronal_100_mask1,5
CHB_train_Case01,mri1_coronal_101_mask1,5
CHB_train_Case01,mri1_coronal_102_mask1,5
CHB_train_Case01,mri1_coronal_103_mask1,5
CHB_train_Case01,mri1_coronal_104_mask1,5
CHB_train_Case01,mri1_coronal_105_mask1,5
CHB_train_Case01,mri1_coronal_106_mask1,5
CHB_train_Case01,mri1_coronal_107_mask1,5
CHB_train_Case01,mri1_coronal_108_mask1,5
CHB_train_Case01,mri1_coronal_109_mask1,5
CHB_train_Case01,mri1_coronal_110_mask1,5
CHB_train_Case01,mri1_coronal_111_mask1,5
CHB_train_Case01,mri1_coronal_112_mask1,5
CHB_train_Case01,mri1_coronal_113_mask1,5
CHB_train_Case01,mri1_coronal_114_mask1,5
CHB_train_Case01,mri1_coronal_115_mask1,5
CHB_train_Case01,mri1_coronal_116_mask1,5
CHB_train_Case01,mri1_coronal_117_mask1,5
CHB_train_Case01,mri1_coronal_118_mask1,5
CHB_train_Case01,mri1_coronal_119_mask1,5
CHB_train_Case01,mri1_coronal_120_mask1,5
CHB_train_Case01,mri1_coronal_121_mask1,5
CHB_train_Case01,mri1_coronal_122_mask1,5
CHB_train_Case01,mri1_coronal_123_mask1,5
CHB_train_Case01,mri1_coronal_124_mask1,5
CHB_train_Case01,mri1_coronal_125_mask1,5
CHB_train_Case01,mri1_coronal_126_mask1,5
CHB_train_Case01,mri1_coronal_127_mask1,5
CHB_train_Case01,mri1_coronal_128_mask1,5
CHB_train_Case01,mri1_coronal_129_mask1,5
CHB_train_Case01,mri1_coronal_130_mask1,5
CHB_train_Case01,mri1_coronal_131_mask1,5
CHB_train_Case01,mri1_coronal_132_mask1,5
CHB_train_Case01,mri1_coronal_133_mask1,5
CHB_train_Case01,mri1_coronal_134_mask1,5
CHB_train_Case01,mri1_coronal_135_mask1,5
CHB_train_Case01,mri1_coronal_136_mask1,5
CHB_train_Case01,mri1_coronal_147_mask1,5
CHB_train_Case01,mri1_coronal_148_mask1,5
CHB_train_Case01,mri1_coronal_149_mask1,5
CHB_train_Case01,mri1_coronal_150_mask1,5
CHB_train_Case01,mri1_coronal_151_mask1,5
CHB_train_Case01,mri1_coronal_152_mask1,5
CHB_train_Case01,mri1_coronal_153_mask1,5
CHB_train_Case01,mri1_coronal_154_mask1,5
CHB_train_Case01,mri1_coronal_155_mask1,5
CHB_train_Case01,mri1_coronal_156_mask1,5
CHB_train_Case01,mri1_coronal_161_mask1,5
CHB_train_Case01,mri1_coronal_162_mask1,5
CHB_train_Case01,mri1_coronal_163_mask1,5
CHB_train_Case01,mri1_coronal_164_mask1,5
CHB_train_Case01,mri1_coronal_165_mask1,5
CHB_train_Case01,mri1_coronal_166_mask1,5
CHB_train_Case01,mri1_coronal_167_mask1,5
CHB_train_Case01,mri1_coronal_168_mask1,5
CHB_train_Case01,mri1_coronal_169_mask1,5
CHB_train_Case01,mri1_coronal_170_mask1,5
CHB_train_Case01,mri1_coronal_171_mask1,5
CHB_train_Case01,mri1_coronal_172_mask1,5
CHB_train_Case01,mri1_coronal_173_mask1,5
CHB_train_Case01,mri1_coronal_174_mask1,5
CHB_train_Case01,mri1_coronal_175_mask1,5
CHB_train_Case01,mri1_coronal_176_mask1,5
CHB_train_Case01,mri1_coronal_177_mask1,5
CHB_train_Case01,mri1_coronal_178_mask1,5
CHB_train_Case01,mri1_coronal_179_mask1,5
CHB_train_Case01,mri1_coronal_180_mask1,5
CHB_train_Case01,mri1_coronal_181_mask1,5
CHB_train_Case01,mri1_coronal_182_mask1,5
CHB_train_Case01,mri1_coronal_183_mask1,5
CHB_train_Case01,mri1_coronal_184_mask1,5
CHB_train_Case01,mri1_coronal_185_mask1,5
CHB_train_Case01,mri1_coronal_186_mask1,5
CHB_train_Case01,mri1_coronal_187_mask1,5
CHB_train_Case01,mri1_coronal_188_mask1,5
CHB_train_Case01,mri1_coronal_189_mask1,5
CHB_train_Case01,mri1_coronal_190_mask1,5
CHB_train_Case01,mri1_coronal_191_mask1,5
CHB_train_Case01,mri1_coronal_192_mask1,5
CHB_train_Case01,mri1_coronal_193_mask1,5
CHB_train_Case01,mri1_coronal_194_mask1,5
CHB_train_Case01,mri1_coronal_195_mask1,5
CHB_train_Case01,mri1_coronal_196_mask1,5
CHB_train_Case01,mri1_coronal_197_mask1,5
CHB_train_Case01,mri1_coronal_198_mask1,5
CHB_train_Case01,mri1_coronal_199_mask1,5
CHB_train_Case01,mri1_coronal_200_mask1,5
